0; 451826.38374907686; 495814.6922557119; 542267.2881153944
1; 449218.39164863253; 482739.0593494885; 527725.5467843476
2; 426213.0108089974; 467520.5595400081; 506879.72098100046
3; 418735.7443357586; 452535.5727162703; 499883.6792978409
4; 404057.9252287323; 440390.2365955214; 498027.60607868445
5; 397998.2334935034; 428136.4913959246; 469594.58160093083
6; 386127.58921013447; 419028.15554691444; 461100.05984576815
7; 383932.2086280951; 409146.6731901658; 453784.4914557244
8; 373163.8002335409; 397968.26760573353; 446353.2000613197
9; 363281.8383241937; 388555.5329503757; 425098.71798857016
10; 357944.3808756406; 379544.0795911757; 410488.6302110927
11; 353813.5397122907; 372862.0396782049; 404259.92589631624
12; 336700.2926557551; 367549.4791655242; 396487.9288252804
13; 335190.0367392189; 361405.6725521014; 386957.20771434036
14; 329366.8916551396; 353164.696896703; 382984.60595791903
15; 325283.61586217815; 345165.6449153526; 375758.5171320954
16; 320183.2436415103; 339376.4398994658; 377112.0996267608
17; 311542.6396591066; 334378.5985045609; 366347.55460336735
18; 310817.1492133435; 329928.3396368937; 367565.4154740997
19; 303530.5221778034; 324815.291965824; 352787.7974104726
20; 296581.5422938622; 319162.7879252424; 356336.237943385
21; 291178.0120269925; 311985.4663963399; 342042.53333179257
22; 287090.34955706476; 306285.4009550091; 332975.6568036866
23; 282186.0106541351; 300330.0309673702; 325788.254233809
24; 278195.2064422035; 295401.9111410088; 317661.6725712076
25; 271694.38362627267; 290420.96927624964; 314713.5503791033
26; 267778.21028792305; 286291.948882548; 312522.35195189854
27; 264714.37745117384; 283348.73239836853; 309299.7616031586
28; 259641.73463666014; 280050.33751490817; 309612.0078356394
29; 255987.7953125536; 274877.99159279605; 305395.8352849308
30; 251032.8053853384; 271644.1802258187; 302343.150085083
31; 249711.5243493841; 267747.09575618303; 294997.0310042649
32; 249711.5243493841; 263671.21071483265; 288308.192430485
33; 243037.31057015833; 258993.99403753193; 287171.09957540676
34; 242543.20807851438; 254808.138715792; 278532.1586761578
35; 237641.3290573355; 251959.06109460906; 271172.9592174133
36; 235936.07054001105; 249679.07573115279; 276047.1290929256
37; 235106.41046504944; 248178.96845807313; 275735.3054645147
38; 229725.60825490532; 246784.2636332475; 269844.2351623754
39; 227483.3620668827; 244537.9346690594; 272647.57823734387
40; 227483.3620668827; 241968.98586511408; 267215.0741988643
41; 224003.20680346392; 239028.75602667348; 266773.1714534294
42; 221030.4916941668; 236756.31884294839; 260175.0596397576
43; 220855.0097638756; 234462.1136803234; 264603.21178763337
44; 218049.8594503556; 231892.04832076092; 258140.5573117025
45; 218049.8594503556; 230398.7498155535; 252821.20363492935
46; 213066.84436562666; 227635.13709514003; 249007.24131723394
47; 212371.61743560704; 225914.82490655946; 246406.99213945892
48; 211063.23013580174; 224679.55787591406; 244949.4261463711
49; 207620.39843949125; 223169.19690731604; 245014.4632742415
50; 206139.00438019304; 221566.79179814697; 246685.25304800688
51; 205651.97803615517; 219542.52442240887; 239865.28427153706
52; 201758.69914063954; 217980.91426511714; 241671.88642248904
53; 201702.88767164559; 215791.03253056164; 237185.5998131693
54; 201702.76332979082; 213546.67340274082; 234792.15057904238
55; 200520.47031831008; 211639.99395836555; 237268.77383229643
56; 195589.17369473298; 208477.78332522218; 226054.63018357992
57; 190731.6403346323; 206681.99754368683; 228929.18604650826
58; 191038.8041053081; 204748.81085878913; 224055.86743455604
59; 190054.83530177057; 202785.824521868; 220142.01028234718
60; 187432.9299999176; 200503.86204681615; 220506.47990337538
61; 186530.92502224538; 197569.41843323573; 216863.39955575092
62; 184623.95175224435; 196339.3317161691; 210926.71252135234
63; 184623.95175224435; 195871.69588809338; 212791.63421370322
64; 183251.37610832517; 194758.30781379802; 213403.83048877673
65; 181619.74144968484; 194356.83569491724; 213004.28904512612
66; 181127.5150225687; 192558.67716828294; 214805.550348299
67; 179983.41712776848; 191508.2757520273; 212126.07996184428
68; 179982.77713319875; 190249.63702051973; 207980.73743809096
69; 177117.72343703083; 189658.52338072605; 207627.19362461238
70; 176337.941661094; 188001.7222711359; 208085.79514296912
71; 176470.24819144033; 185809.4473873237; 201679.5527095112
72; 175282.45303116896; 184101.6502296112; 205291.2327601453
73; 170279.0158765939; 181976.71483954103; 201294.47729536484
74; 170927.48738291446; 180146.88353851362; 195038.65411676755
75; 170060.26896218574; 179875.10084698113; 197896.09224308465
76; 169415.23087059005; 179472.5564335636; 198802.12182385114
77; 169896.74274023375; 178764.5479429579; 196838.08620708244
78; 168676.72029666117; 178107.62436184255; 196381.46744626088
79; 166659.40585514833; 177154.00012272436; 196339.78959510862
80; 166659.40585514833; 176500.10427932825; 193659.34463796415
81; 166482.09139900684; 176053.93551951638; 195078.82965891642
82; 166311.0534522446; 175853.16648229244; 193767.43998397945
83; 165199.36978595998; 175798.2259714521; 196202.63901233842
84; 165591.8427645186; 175338.4849992175; 192311.61589506338
85; 164692.84087260184; 174283.42320956555; 193267.30502789645
86; 163981.3939668903; 172462.08228416066; 192285.68611891777
87; 163062.63022282562; 170483.3406429569; 185623.11951780735
88; 162355.98069036644; 170091.34935484338; 189907.75053668753
89; 160861.57029827873; 169736.22393128905; 186281.7735818249
90; 160206.05734435536; 169630.41482199315; 185685.13139980828
91; 160613.80084265565; 169363.67674715904; 184427.1411748764
92; 160482.2318382858; 168307.35917400548; 183717.83537348453
93; 158768.1102321848; 167628.1129402764; 185912.3587538743
94; 157407.6715411698; 166591.63488215074; 181443.19909945212
95; 156453.9550347385; 165535.54307608498; 184649.62690378755
